Apple Inc.
AT-E 602,679
AT-E 609,216
AU 2002343215
AU 2002344460
AU 2002347635
AU 2002357584
AU 2003201906February 1, 2014 AVC Attachment 1 Page 29 of 75
AU 2003211717
AU 2003221378
AU 2003227248
AU 2003234762
AU 2003235171
AU 2003235172
AU 2003236032
AU 2003236033
AU 2003236034
AU 2003261923
AU 2003268763
AU 2003281129
AU 2004218397
AU 2005204229
AU 2006203176
AU 2007202509
AU 2007202520
AU 2008200669
AU 2008201313
AU 2008201315
AU 2008203058
AU 2008230068
AU 2008230069
AU 2010200906
AU 2010200907
BE 1,387,585
BE 1,413,139
BE 1,439,713
BE 1,445,869
BE 1,530,374
BE 1,739,972
BE 1,742,479
BE 1,742,480
BE 1,742,483
BE 1,742,484
BE 1,744,562
BE 1,746,841
BE 1,750,451
BE 1,753,246
BE 1,965,590
BE 2,117,236
BE 2,216,995
BE 2,249,570
BE 2,249,573
BE 2,249,574
BE 2,249,577
BE 2,249,578
BE 2,254,341
BE 2,273,793
BE 2,273,794
BE 2,278,816February 1, 2014 AVC Attachment 1 Page 30 of 75
BE 2131593
BG 1,439,713
BG 1,445,869
BG 2,249,570
BG 2,249,573
BG 2,249,578
BG 2,254,341
BG 2,273,794
BG 2131593
BR PI9804752-3 B1
BR PI9805978-5 B1
CA 2,426,780
CA 2,428,081
CA 2,432,453
CA 2,433,455
CA 2,435,757
CA 2,438,295
CA 2,442,945
CA 2,443,848
CA 2,443,861
CA 2,444,357
CA 2,447,840
CA 2,448,771
CA 2,448,970
CA 2,450,309
CA 2,450,360
CA 2,451,568
CA 2,452,175
CA 2,456,377
CA 2,460,471
CA 2,460,473
CA 2,468,770
CA 2,473,767
CA 2,473,897
CA 2,473,898
CA 2,582,664
CA 2,582,665
CA 2,625,292
CA 2,732,005
CA 2448511
CA 2607755
CA 2608610
CH 1,413,139
CH 1,439,713
CH 1,445,869
CH 1,530,374
CH 1,596,608
CH 1,739,972
CH 1,742,479
CH 1,742,480
CH 1,744,562February 1, 2014 AVC Attachment 1 Page 31 of 75
CH 1,746,841
CH 1,750,451
CH 1,753,246
CH 1,965,590
CH 2,117,236
CH 2,216,995
CH 2,249,570
CH 2,249,573
CH 2,249,574
CH 2,249,577
CH 2,249,578
CH 2,273,793
CH 2,273,794
CH 2,278,816
CH 2131593
CN 01118860.X
CN 01118861.8
CN 01137469.1
CN 02804269.7
CN 02804270.0
CN 02813282.3
CN 03800055.5
CN 03800235.3
CN 03800330.9
CN 03800448.8
CN 03800471.2
CN 03800473.9
CN 03800518.2
